time,OUT_EVAP
2013-04-08,3.520255813269336
2013-04-09,5.206721901629458
2013-04-10,5.318724027478899
2013-04-11,6.082274518347137
2013-04-12,6.256051288450621
2013-04-13,6.379219241191628
2013-04-14,6.12754618606765
2013-04-15,6.138290925183513
2013-04-16,4.266037347083711
2013-04-17,3.741740224878717
2013-04-18,4.101982671499086
2013-04-19,6.261259985101662
2013-04-20,4.33580422612079
2013-04-21,4.171019148581441
2013-04-22,4.141997121878601
2013-04-23,4.204061661000565
2013-04-24,4.351884979880423
2013-04-25,4.4888386194777405
2013-04-26,4.299666054838694
2013-04-27,5.635613129957415
2013-04-28,5.829889363207278
2013-04-29,5.04232184769464
2013-04-30,5.377219377348919
2013-05-01,4.602110192923579
2013-05-02,5.9117018420727225
2013-05-03,3.221627317723801
2013-05-04,4.455623662680492
2013-05-05,4.365514762752616
2013-05-06,4.649731424418839
2013-05-07,4.000242467239809
2013-05-08,5.665851564833506
2013-05-09,4.677528559060292
2013-05-10,4.821443374774074
2013-05-11,1.7019414363243537
2013-05-12,4.546371601978367
2013-05-13,5.666460727359282
2013-05-14,5.9343252250962495
2013-05-15,4.796281232846126
2013-05-16,4.483343522750125
2013-05-17,4.569658066209053
2013-05-18,4.284136803489541
2013-05-19,4.288513386453078
2013-05-20,4.985020450337574
2013-05-21,4.587570835615448
2013-05-22,4.070943310394162
2013-05-23,4.2582145643595615
2013-05-24,4.510729525473823
2013-05-25,5.3114015235301935
2013-05-26,5.959002589581283
2013-05-27,6.210783119693053
2013-05-28,4.114990782546665
2013-05-29,4.1917229167774055
2013-05-30,4.038969753645676
2013-05-31,5.865006606314416
2013-06-01,4.315911107257592
2013-06-02,3.8060079386758745
2013-06-03,4.2960002960559995
2013-06-04,4.685096797729658
2013-06-05,5.580602978732357
2013-06-06,5.578242569643977
2013-06-07,5.543101941957353
2013-06-08,5.650990950932757
2013-06-09,5.749444200713789
2013-06-10,4.335917231394211
2013-06-11,2.7749577767638356
2013-06-12,5.196375136451394
2013-06-13,4.80669120978373
2013-06-14,4.838251459902045
2013-06-15,5.581976466657487
2013-06-16,5.732770144366203
2013-06-17,5.77799940748761
2013-06-18,6.027327355939489
2013-06-19,4.488711076949796
2013-06-20,4.449757238125081
2013-06-21,4.355667038746665
2013-06-22,2.3415773549261907
2013-06-23,3.4354264992735564
2013-06-24,4.872758157278746
2013-06-25,4.357744478208169
2013-06-26,4.5845469119921205
2013-06-27,4.643155470600542
2013-06-28,6.079849299126426
2013-06-29,5.774130142268474
2013-06-30,5.766699702877785
2013-07-01,4.5003028358536055
2013-07-02,3.821906258008239
2013-07-03,5.553125152359318
2013-07-04,5.553050278351485
2013-07-05,4.423018757288797
2013-07-06,5.23387794135427
2013-07-07,4.23030123744657
2013-07-08,3.7972626581090405
2013-07-09,3.694188862032816
2013-07-10,3.963579636050347
2013-07-11,4.578794795261555
2013-07-12,6.003532518899525
2013-07-13,5.7767239589549195
2013-07-14,3.930555799439792
2013-07-15,4.091570615326278
2013-07-16,4.573093700414748
2013-07-17,3.9533589384519687
2013-07-18,4.552718591211956
2013-07-19,3.8119983698330593
2013-07-20,2.6943979600472097
2013-07-21,3.6212746524741064
2013-07-22,3.783689824089831
2013-07-23,3.8062543690339257
2013-07-24,4.038664836270251
2013-07-25,4.364273006672566
2013-07-26,4.406313271419729
2013-07-27,4.184147360049406
2013-07-28,3.038674990794563
2013-07-29,3.9203415420886776
2013-07-30,4.731277479910502
2013-07-31,4.45481814658093
2013-08-01,4.051306842102047
2013-08-02,3.7811263677945095
2013-08-03,3.770628160601297
2013-08-04,5.241289082691077
2013-08-05,5.306550488167827
2013-08-06,4.299091676557183
2013-08-07,3.601016492516203
2013-08-08,4.192453791257835
2013-08-09,4.093256706936256
2013-08-10,4.31866771603567
2013-08-11,4.440412597239011
2013-08-12,3.9800753446157984
2013-08-13,4.1157989160767166
2013-08-14,4.140877929807557
2013-08-15,5.160873985569894
2013-08-16,5.140807354669379
2013-08-17,4.8730384253308365
2013-08-18,4.798301015880288
2013-08-19,5.57004742606164
2013-08-20,3.3530198613750617
2013-08-21,3.5848230577839835
2013-08-22,3.305143708921556
2013-08-23,4.275326580244819
2013-08-24,4.123254721753256
2013-08-25,4.346144765187316
2013-08-26,3.485889289740584
2013-08-27,3.8730895363700037
2013-08-28,3.665846307511104
2013-08-29,3.408431746440205
2013-08-30,4.541971304014248
2013-08-31,5.5910972890213735
2013-09-01,4.197402908833451
2013-09-02,5.608873876906635
2013-09-03,5.197211014627779
2013-09-04,4.179648476302956
2013-09-05,4.042647890296917
2013-09-06,4.062517992639468
2013-09-07,4.010328064828549
2013-09-08,3.954867618052393
2013-09-09,3.9630658324449546
2013-09-10,3.912390396331326
2013-09-11,3.9003045888230936
2013-09-12,3.834746139884862
2013-09-13,3.435219956017537
2013-09-14,3.4623791136135584
2013-09-15,4.036333793398501
2013-09-16,2.8968531120373133
2013-09-17,2.5927587646058194
2013-09-18,1.864184645729147
2013-09-19,3.0012910087948876
2013-09-20,3.794398500973482
2013-09-21,2.9450835616575888
2013-09-22,3.1657368493493743
2013-09-23,1.4144996791398663
2013-09-24,4.846127288799737
2013-09-25,3.5687615466689118
2013-09-26,2.85042769924052
2013-09-27,3.6713060446914754
2013-09-28,2.966210940685792
2013-09-29,4.862621801001973
2013-09-30,3.040161927228065
2013-10-01,3.599465497829325
2013-10-02,2.839707440351448
2013-10-03,3.6037023030632027
2013-10-04,3.7324543314363314
2013-10-05,4.041825300165497
2013-10-06,3.769536014564785
2013-10-07,4.798302358998847
