cloud_area,cloud_percent,corrected_area,non_water_area,date,water_area,wl (m),area (m2),dS
0.0051866901245117,0.0011878834404726,200.59359568752,236.03413528032544,2016-01-01,200.59359568752,138.42750748816664,200593595.68752,
0.0,0.0,173.51480087145865,263.1181167865086,2016-02-01,173.51480087145865,137.29030910505108,173514800.87145865,-212717731.8384127
0.0069159834594726,0.0015839354248802,137.15859076220684,299.47432689576084,2016-03-01,137.1516747787474,135.74745272968912,137158590.76220685,-239662211.46866256
0.0207429243164062,0.0047506551791075,143.9853341430645,292.6467190966222,2016-04-01,143.9654556370219,136.03353940882405,143985334.1430645,40215765.91755594
78.80110045480403,18.04744838696097,103.82437859692476,307.8091066793012,2016-05-01,50.02271052386548,134.35052398520375,103824378.59692477,-208533784.3321595
344.3566533527928,78.86639770539078,184.6692304669103,91.79087912635272,2016-06-01,0.4853851788330073,137.78241488379112,184669230.4669103,495039295.6233991
320.84689162324923,73.4820666623601,191.0584362807845,86.63235198841116,2016-07-01,29.15367404632572,138.03235936550746,191058436.2807845,46955528.46587129
339.40906579538074,77.7332748103128,203.16850115563156,84.88332532978333,2016-08-01,12.340526532836904,138.5493965044086,203168501.15563157,101914983.90494262
436.6329176579772,100.0,227.64755480084904,0.0,2016-09-01,0.0,139.6891077493044,227647554.80084905,245502951.72763106
436.6329176579772,100.0,227.64755480084904,0.0,2016-10-01,0.0,139.6891077493044,227647554.80084905,0.0
252.20578624030344,57.76151454478358,146.18430143741773,148.45934112890995,2016-11-01,35.96779028872574,136.12569099790122,146184301.43741772,-666059349.3637955
0.0043186320800781,0.0009890761565213397,218.37603657985372,218.25342599867815,2016-12-01,218.3751730271804,139.3251013346663,218376036.5798537,583189056.9135156
0.0,0.0,210.74318414022144,225.88973351771543,2017-01-01,210.74318414022144,139.00187171714123,210743184.14022145,-69352020.7930035
0.0008635999145507812,0.00019778625926396496,206.53245990362893,230.100457754328,2017-02-01,206.5315963037144,138.71267082664087,206532459.90362895,-60338243.92079505
21.90617701022187,5.017069516362304,128.7773818863095,301.5170231086334,2017-03-01,113.20971753912544,135.3962234420664,128777381.88630952,-556018723.9131609
5.423715410605967,1.2421682358943649,152.92997681908952,281.76795564268065,2017-04-01,149.44124660467256,136.40838038005612,152929976.81908953,142566028.79821354
30.216280027206466,6.9202936391705165,168.17962787360227,246.7603794678784,2017-05-01,159.65625816284648,137.047443808218,168179627.87360227,102604702.39530821
436.6329176579772,100.0,227.64755480084904,0.0,2017-06-01,0.0,139.6891077493044,227647554.80084905,522821197.6864629
185.1873194040395,42.41258776305125,196.75101425503703,174.43677117331782,2017-07-01,77.00882708056949,138.25505190239755,196751014.25503704,-304305624.68674874
-9999.0,0.0,196.75101425503703,-9999.0,2017-08-01,,138.25505190239755,196751014.25503704,0.0
170.91083296199136,39.14291068083942,211.80225178631517,145.42994908180486,2017-09-01,120.2921356141457,139.02895784619733,211802251.78631517,158090900.47410667
436.34372920137673,99.93376851700586,227.64755480084904,0.2891884566054401,2017-10-01,0.0,139.6891077493044,227647554.80084905,145051373.6194714
375.2996676758007,85.95313190971358,222.12078306555964,57.326434235299246,2017-11-01,4.006815746887211,139.43240066090428,222120783.06555963,-57729360.23412673
0.0190014896240234,0.0043518225162558,218.5907859496346,218.03867515917625,2017-12-01,218.5752410091439,139.3312546117374,218590785.9496346,-22288117.014013074
0.0,0.0,203.98749471607783,232.6454229418849,2018-01-01,203.98749471607783,138.58816543034686,203987494.71607783,-157006674.32665107
1.3090824404217876,0.2998130437447474,188.7409057668396,247.6100092022731,2018-02-01,187.7138260152521,137.94169802510865,188740905.7668396,-126943055.01177254
20.9049186497109,4.787755985472377,172.78533693248986,259.98843290997286,2018-03-01,155.73956609826038,137.2514389129213,172785336.93248984,-124773391.65903607
33.57430795923151,7.689367109406447,171.83272048186896,239.57997405045887,2018-04-01,163.4786356482514,137.20067782319018,171832720.48186895,-8746594.067685721
7.662565869955422,1.754921711138163,173.64682964630327,255.8223099021924,2018-05-01,173.14804188580445,137.29734438612627,173646829.64630327,16698160.337799065
-9999.0,0.0,173.64682964630327,-9999.0,2018-06-01,,137.29734438612627,173646829.64630327,0.0
383.4475529815618,87.81920406694933,213.45904542505983,42.17912005925997,2018-07-01,11.00624461718724,139.0713310850399,213459045.42505983,343360336.72396004
-9999.0,0.0,213.45904542505983,-9999.0,2018-08-01,,139.0713310850399,213459045.42505983,0.0
22.822637167126523,5.226962110311089,200.81873237745384,218.06409595674904,2018-09-01,195.746184534068,138.43816484627,200818732.37745383,-131153351.18858257
28.30569241848249,6.482720673079939,200.6505252847735,214.35824897304423,2018-10-01,193.9689762663995,138.4302023803443,200650525.2847735,-1598342.642178775
431.0118839404863,98.71264087286494,226.4881091435016,5.62103371754676,2018-11-01,0.0,139.61988711304485,226488109.14350158,254080156.0629415
0.0008641687011718749,0.00019791652581009693,192.06082375181177,244.5712297374366,2018-12-01,192.06082375181177,138.07157256730804,192060823.75181177,-324022700.45221794
0.0,0.0,186.6269497006491,250.0059679573068,2019-01-01,186.6269497006491,137.85900047728703,186626949.7006491,-40249225.734096676
2.890196025049537,0.66192811127302,159.3205376587439,277.2335402334911,2019-02-01,156.50918139940765,136.67618806322656,159320537.6587439,-204595491.3308578
136.88735029641185,31.350671184079157,94.4255164630956,290.1536674804884,2019-03-01,9.591899881103572,133.95664814931777,94425516.4630956,-345036261.0906012
219.62817084587223,50.300415283377774,175.37472649677846,163.33415042534682,2019-04-01,53.67059638671996,137.3894170424571,175374726.49677846,463080940.69704396
