date,streamflow
2001-04-01,0.06027972676227021
2001-04-02,1.4819372094542613
2001-04-03,2.835423713111574
2001-04-04,2.2676153193057504
2001-04-05,1.3918132569628483
2001-04-06,0.7487142463920639
2001-04-07,0.3120506147117151
2001-04-08,0.14186094213185155
2001-04-09,0.11323930958085174
2001-04-10,0.1232304420999947
2001-04-11,0.3926848555354062
2001-04-12,6.647302499940842
2001-04-13,11.39857136340932
2001-04-14,8.403912703374083
2001-04-15,5.558198761330098
2001-04-16,3.418536176245008
2001-04-17,1.908979835574088
2001-04-18,1.2776456282580784
2001-04-19,1.1695923742071619
2001-04-20,1.1327020722528733
2001-04-21,1.060610797634306
2001-04-22,0.8419055958495897
2001-04-23,0.4002731135805558
2001-04-24,0.3550777324211052
2001-04-25,0.7194155495342399
2001-04-26,8.40349704037697
2001-04-27,15.275898510590679
2001-04-28,11.987959830927599
2001-04-29,11.974032982602365
2001-04-30,18.761617000996974
2001-05-01,19.399418357078446
2001-05-02,13.661150358743354
2001-05-03,9.353908005551732
2001-05-04,5.549949497462058
2001-05-05,3.415074781501422
2001-05-06,4.077560725984512
2001-05-07,6.570340254746931
2001-05-08,7.338761817521628
2001-05-09,9.934034372218477
2001-05-10,12.942609488296098
2001-05-11,11.283980955683788
2001-05-12,13.160131068529692
2001-05-13,16.07917819697292
2001-05-14,24.354498463067447
2001-05-15,67.93018700938237
2001-05-16,146.09084449311027
2001-05-17,180.9748219482992
2001-05-18,168.2100214179637
2001-05-19,143.71195297268355
2001-05-20,101.12469387349407
2001-05-21,68.51125635537105
2001-05-22,50.6195751429498
2001-05-23,40.50655473807462
2001-05-24,36.20319960837177
2001-05-25,34.25856987333612
2001-05-26,32.187298986630836
2001-05-27,38.17465983910839
2001-05-28,61.64996539651365
2001-05-29,76.43113129672683
2001-05-30,70.29791376337391
2001-05-31,58.32415313220599
2001-06-01,49.90384559738955
2001-06-02,57.16263684452568
2001-06-03,69.72878393275431
2001-06-04,67.69345533677766
2001-06-05,61.897682589912
2001-06-06,80.17839168998958
2001-06-07,110.57228224912429
2001-06-08,119.12730236967924
2001-06-09,115.14812161928556
2001-06-10,102.37610369098671
2001-06-11,82.94399931068355
2001-06-12,74.1438476080298
2001-06-13,66.28831477276437
2001-06-14,63.275833517544186
2001-06-15,74.3460961570318
2001-06-16,79.9733227830264
2001-06-17,74.36205185081087
2001-06-18,65.01288830465714
2001-06-19,54.60432100328439
2001-06-20,48.77076367162428
2001-06-21,48.29969536533414
2001-06-22,77.68779502201184
2001-06-23,117.8343506049637
2001-06-24,157.94043575018318
2001-06-25,182.63623818954812
2001-06-26,160.77886778848637
2001-06-27,144.30464326951258
2001-06-28,149.50897024497485
2001-06-29,164.83565708778985
2001-06-30,160.0401409988035
2001-07-01,181.513160039491
2001-07-02,199.91919355785274
2001-07-03,160.5370546576875
2001-07-04,126.64336491439151
2001-07-05,126.9705020854023
2001-07-06,135.39780586360703
2001-07-07,139.3766960831505
2001-07-08,177.73496264137535
2001-07-09,192.1994238633495
2001-07-10,161.35575445300466
2001-07-11,127.46343354609266
2001-07-12,99.62290564532202
2001-07-13,92.85933414328233
2001-07-14,105.09100914762176
2001-07-15,112.64685091583118
2001-07-16,117.10651928850109
2001-07-17,125.98329779497917
2001-07-18,119.50446379943176
2001-07-19,102.03685455500862
2001-07-20,129.07595905198528
2001-07-21,303.599046793653
2001-07-22,453.1166457482457
2001-07-23,420.5714082234483
2001-07-24,328.18100078331753
2001-07-25,233.1297254920187
2001-07-26,211.20670644554596
2001-07-27,261.06905143830926
2001-07-28,262.78064428293675
2001-07-29,236.6561130628391
2001-07-30,208.11704507531107
2001-07-31,160.76891271775503
2001-08-01,127.21996133122809
2001-08-02,107.60082474282686
2001-08-03,136.1070129066293
2001-08-04,162.55082762022232
2001-08-05,167.9107587848028
2001-08-06,170.51794129208045
2001-08-07,161.47825794699065
2001-08-08,158.80419642729993
2001-08-09,247.1024856203046
2001-08-10,395.2550114998836
2001-08-11,414.05842297774495
2001-08-12,329.13058359398485
2001-08-13,236.07080610069684
2001-08-14,169.81008921018713
2001-08-15,137.41005792828952
2001-08-16,138.31699896539655
2001-08-17,221.12730906119216
2001-08-18,356.04140569483974
2001-08-19,391.0299397095546
2001-08-20,345.9305781465963
2001-08-21,357.3745090495905
2001-08-22,337.423605485694
2001-08-23,353.75194330793454
2001-08-24,369.1298459824131
2001-08-25,293.1404515523484
2001-08-26,296.5423441053333
2001-08-27,396.70058087586415
2001-08-28,464.26781443347625
2001-08-29,440.27370969247767
2001-08-30,390.36145257568677
2001-08-31,378.4960848704763
2001-09-01,341.540167118319
2001-09-02,250.3105853179702
2001-09-03,209.49064746780962
2001-09-04,346.336304762097
2001-09-05,476.82473051275144
2001-09-06,430.5469293816717
2001-09-07,351.6150719144583
2001-09-08,279.9194988980485
2001-09-09,414.309650044329
2001-09-10,551.4058318642262
2001-09-11,483.97788887700716
2001-09-12,420.90908096055387
2001-09-13,364.5897747543714
2001-09-14,286.9392008118987
2001-09-15,207.3254592273333
2001-09-16,163.73944397998707
2001-09-17,216.63661391926436
2001-09-18,256.97997696906714
2001-09-19,232.72463402339616
2001-09-20,220.99370281466594
2001-09-21,219.31739530991666
2001-09-22,283.4335808166681
2001-09-23,353.239697209074
2001-09-24,330.9550295511408
2001-09-25,278.0084713495054
2001-09-26,238.04421934437102
2001-09-27,189.9271628283229
2001-09-28,151.98479996041056
2001-09-29,151.05139484760272
2001-09-30,159.07176854430926
2001-10-01,154.07437032632112
2001-10-02,146.68061758836134
