system:index,cloud_area,cloud_percent,corrected_area,non_water_area,system:time_start,water_area,.geo
39,219.62817084587223,50.300415283377774,175.37472649677846,163.33415042534682,2019-04-01T00:00:00,53.67059638671996,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,50.739420975147,11.620612858807453,156.14201287496675,268.06740054398557,2019-05-01T00:00:00,117.82609613882691,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,175.63700419855473,40.22532362897735,176.03780785898607,192.47730206455427,2019-06-01T00:00:00,68.51861139483646,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,184.6353000201217,42.28616133902329,176.1034028978085,185.78349312443868,2019-07-01T00:00:00,66.21412451338075,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-9999,0,-9999,-9999,2019-08-01T00:00:00,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,93.06344589894312,21.313886822396917,196.3518979095203,207.56419549337352,2019-09-01T00:00:00,136.0052762656246,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1.8168483783552531,0.41610430750402955,227.29479522845014,207.53337461828355,2019-10-01T00:00:00,227.28269466131144,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.011235745361328126,0.0025732703392121518,232.03641714671852,204.5852647658499,2019-11-01T00:00:00,232.03641714671852,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.008636436950683593,0.0019779628611165433,231.97731194438737,204.65387805992532,2019-12-01T00:00:00,231.97040316106217,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,3.3430654502038983,0.7656466828327358,224.5780217929706,209.97474752158868,2020-01-01T00:00:00,223.3151046861591,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,315.873159625461,72.34295602808508,198.27248384367738,61.966765428946125,2020-02-01T00:00:00,58.79299260357778,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,24.615508980402495,5.63757517697866,195.732953217892,232.60132306262773,2020-03-01T00:00:00,179.416085614924,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,91.11917645759588,20.868599863323695,137.93247780633703,258.7028164285161,2020-04-01T00:00:00,86.81092477185078,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,252.32115395995842,57.78793667535669,191.93110836272035,140.38517640304235,2020-05-01T00:00:00,43.92658729498373,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,30.37472507180491,6.956581568501779,174.0023525585552,240.21187264594658,2020-06-01T00:00:00,166.04631994020437,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,36.09491558617596,8.266650114192776,186.6185391988884,217.99740644901513,2020-07-01T00:00:00,182.54059562278047,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,291.04518481683715,66.65672079373817,212.31453464119755,81.49230539596013,2020-08-01T00:00:00,64.09542744518973,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,9.07011309249172,2.077285684538551,202.56581232307758,228.90775396480035,2020-09-01T00:00:00,198.6550506006639,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,401.23231175027445,91.89236439213148,221.8051754392643,34.8911126175532,2020-10-01T00:00:00,0.5094932901611314,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,17.587196345365406,4.027913525095895,223.57062875786815,209.41428530654747,2020-11-01T00:00:00,209.63143600603755,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.2314456079711912,0.05300690777338712,221.61688705291067,214.8959887311845,2020-12-01T00:00:00,221.50548331877982,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.1243628025512696,0.028482232447874598,221.03936327800795,215.55727851414207,2021-01-01T00:00:00,220.95127634124043,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,1.0691904542248292,0.24487170137328362,210.4351268046217,225.80690798113346,2021-02-01T00:00:00,209.7568192225911,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.08808788922119143,0.020174358290181552,206.3355449791262,230.29305385871027,2021-03-01T00:00:00,206.2517759100344,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,89.83021791627459,20.57339570229936,134.55310545047632,266.21145086833576,2021-04-01T00:00:00,80.59124887338629,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2.536864455657608,0.5810062304200678,183.5772316488608,252.19987394521567,2021-05-01T00:00:00,181.8961792570757,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,237.3511595718931,54.35942870386848,199.26688751625133,141.55275555779374,2021-06-01T00:00:00,57.72900252826127,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,111.56023320656469,25.550119721840268,164.77606397073902,221.7517284413292,2021-07-01T00:00:00,103.32095601003348,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,368.94541373354235,84.49784677538587,218.59790429816098,31.065180391546622,2021-08-01T00:00:00,36.622323532897795,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,131.1146317213149,30.028572381716874,216.10523184532957,131.47391016745559,2021-09-01T00:00:00,174.04437576916337,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,97.52243989012908,22.33510941255429,224.75654490240214,156.30957656061167,2021-10-01T00:00:00,182.80090120719973,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,138.96895084609162,31.82741044617284,214.22182383174126,169.14242372607225,2021-11-01T00:00:00,128.52154308577346,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,1.903686099898034,0.43599234572355744,218.5806231431207,216.32420658556896,2021-12-01T00:00:00,218.40502497246675,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.1684049556884766,0.03856900130017384,222.63025268957946,213.9335734520609,2022-01-01T00:00:00,222.53093925018737,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,22.51529616039174,5.156573233452061,195.17373579034034,236.83128281990707,2022-02-01T00:00:00,177.28633867767275,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,348.9941531142075,79.92850263928342,215.94690519069007,76.43166192880425,2022-03-01T00:00:00,11.207102614929086,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,30.06054941554285,6.884627383749463,185.46491972740654,233.43116082296893,2022-04-01T00:00:00,173.1412074194292,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,357.03594571674046,81.77027687967902,215.465761464816,42.45770548321855,2022-05-01T00:00:00,37.13926645800788,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,249.07943870162163,57.04550175411392,200.94810542003148,105.81859208636251,2022-06-01T00:00:00,81.73488686999555,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,176.77305168058598,40.48550728350347,204.42124643176004,142.08983448005574,2022-07-01T00:00:00,117.77003149731554,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,190.20119055911687,43.5608912812459,199.55193036012156,138.28997862268392,2022-08-01T00:00:00,108.14174847616148,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,264.89518191880904,60.66770763405986,222.30425220331335,82.83679139272115,2022-09-01T00:00:00,88.90094434645053,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.02591096594238281,0.005934267640966386,222.31482748217175,214.3085875954505,2022-10-01T00:00:00,222.29841909655164,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.014684290771484372,0.003363074605151131,219.80453639324372,216.8206057486974,2022-11-01T00:00:00,219.79762761846345,"{""type"":""MultiPoint"",""coordinates"":[]}"
