date,unfiltered_area,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2019-01-29,188.54421589671128,188.54421589671128,188.54421589671128,-0.21072832320892304,-0.2265793333333363,5.0,188.54421589671128
2019-02-02,190.17490306431336,190.17490306431336,190.17490306431336,0.40767179190051905,-0.3776322222222177,4.0,190.17490306431336
2019-02-03,187.4249375293821,187.4249375293821,187.4249375293821,-2.749965534931249,-0.3776322222222177,1.0,187.4249375293821
2019-02-08,187.9842537092196,187.9842537092196,187.9842537092196,0.11186323596749617,-0.33811399346405435,5.0,187.9842537092196
2019-02-13,186.61433252010852,186.61433252010852,186.61433252010852,-0.2739842378222136,-0.18004107843137263,5.0,186.61433252010852
2019-02-18,183.4673948008937,183.4673948008937,183.4673948008937,-0.6293875438429666,-0.18004107843137832,5.0,183.4673948008937
2019-02-23,58.31795307419936,,,,-0.16671603267973295,5.0,182.63381463749502
2019-02-28,182.31382500216063,182.31382500216063,182.31382500216063,-0.11535697987330593,-0.16338477124182874,5.0,182.31382500216063
2019-03-05,181.0761504048249,181.0761504048249,181.0761504048249,-0.24753491946714803,-0.11299176470587895,5.0,181.0761504048249
2019-03-06,162.54751521879237,,,,-0.037402254901934384,1.0,181.03874814992295
2019-03-15,55.95685420902602,,,,-0.03740225490195649,9.0,180.70212785580534
2019-03-20,179.25599579260708,179.25599579260708,179.25599579260708,-0.12134364081452038,-0.22309258169934765,5.0,179.25599579260708
2019-03-22,171.6397386526822,,,,-0.22309258169936186,2.0,178.80981062920836
2019-03-25,181.1332621538268,181.1332621538268,181.1332621538268,0.37545327224394215,-0.22309258169934765,3.0,181.1332621538268
2019-03-30,56.37241061586459,,,,-1.0759120130718998,5.0,175.7537020884673
2019-04-04,145.10678430094498,,,,-1.6444583006535936,5.0,167.53141058519932
2019-04-09,176.16108024803972,,,,-1.057648196078435,5.0,162.24316960480715
2019-04-14,63.515203814474425,,,,1.2895922222222225,5.0,168.69113071591826
2019-04-19,173.53458671017466,173.53458671017466,173.53458671017466,-0.30394701774608507,1.2895922222222282,5.0,173.53458671017466
2019-04-23,175.31196743369284,175.31196743369284,175.31196743369284,0.44434518087954444,0.12267398692809905,4.0,175.31196743369284
2019-04-24,171.04689588743085,171.04689588743085,171.04689588743085,-4.265071546261993,-0.2662987581699383,1.0,171.04689588743085
2019-04-29,178.00009650068836,178.00009650068836,178.00009650068836,1.3906401226515015,-0.26629875816993265,5.0,178.00009650068836
2019-05-04,63.01693687516372,,,,-0.15300967320261522,5.0,177.23504813467528
2019-05-09,174.03514463781738,174.03514463781738,174.03514463781738,-0.39649518628709757,0.016923954248363772,5.0,174.03514463781738
2019-05-19,164.3530191962527,164.3530191962527,164.3530191962527,-0.9682125441564693,-0.47562372549019755,10.0,164.3530191962527
2019-05-25,173.41568849005196,173.41568849005196,173.41568849005196,1.510444882299879,-0.9681714052287589,6.0,173.41568849005196
2019-05-29,147.76820932196046,,,,-0.16879892973856414,4.0,172.7404927710977
2019-06-08,98.8986895228688,,,,0.10868329738562181,10.0,173.82732574495392
2019-06-10,173.3477364487393,173.3477364487393,173.3477364487393,-0.004247002582040693,0.20790591503268274,2.0,173.3477364487393
2019-06-13,167.6156992684513,167.6156992684513,167.6156992684513,-1.9106790600960057,0.20790591503267328,3.0,167.6156992684513
2019-06-18,142.49039586912124,,,,0.20790591503268274,5.0,168.6552288436147
2019-06-23,168.98196272355574,168.98196272355574,168.98196272355574,0.13662634551044447,-0.07518548366012964,5.0,168.98196272355574
2019-06-26,172.17381651896014,172.17381651896014,172.17381651896014,1.0639512651347995,-0.1459583333333304,3.0,172.17381651896014
2019-07-08,168.3990842156281,168.3990842156281,168.3990842156281,-0.31456102527766916,-0.027675928649237846,12.0,168.3990842156281
2019-07-12,167.96716474780823,167.96716474780823,167.96716474780823,-0.1079798669549703,0.056811503267972796,4.0,167.96716474780823
2019-07-18,176.88785501464844,176.88785501464844,176.88785501464844,1.4867817111400352,0.632675528322442,6.0,176.88785501464844
2019-07-23,173.07042662530517,173.07042662530517,173.07042662530517,-0.7634856778686526,0.7478483333333316,5.0,173.07042662530517
2019-08-02,173.4770132750845,173.4770132750845,173.4770132750845,0.04065866497793138,0.7510227908496716,10.0,173.4770132750845
2019-08-12,190.7678161847534,190.7678161847534,190.7678161847534,1.7290802909668912,0.6786262875816987,10.0,190.7678161847534
2019-09-11,245.74973467219064,,,,1.5488448104575194,30.0,237.23316049847898
2019-09-16,235.4215048508679,235.4215048508679,235.4215048508679,1.2758196761747,0.08010460784313977,5.0,235.4215048508679
2019-09-26,243.56965321647232,243.56965321647232,243.56965321647232,0.8148148365604413,0.056174921568626246,10.0,243.56965321647232
2019-09-30,248.2107219070344,,,,0.0003389869280994162,4.0,243.57100916418472
2019-10-01,241.896404859943,241.896404859943,241.896404859943,-0.33464967130586276,0.00033898692811362707,1.0,241.896404859943
2019-10-06,183.2086909689123,,,,0.0054333464052263025,5.0,241.92357159196914
2019-10-11,237.90524015900832,237.90524015900832,237.90524015900832,-0.39911647009346896,0.025810784313728165,5.0,237.90524015900832
2019-10-16,239.60368269264296,239.60368269264296,239.60368269264296,0.3396885067269295,0.025810784313733848,5.0,239.60368269264296
2019-10-21,239.5750555277851,239.5750555277851,239.5750555277851,-0.005725432971570399,0.017070000000001074,5.0,239.5750555277851
2019-10-26,238.08881317380204,238.08881317380204,238.08881317380204,-0.2972484707966146,0.0148848039215693,5.0,238.08881317380204
2019-10-31,133.27265626419867,,,,0.020370830065360224,5.0,238.19066732412884
